KGISDist_1,
Udupi
Uttara Kannada
Belagavi
Bidar
Bagalkot
Ballari
Bengaluru (Rural)
Bengaluru (Urban)
Chamarajanagara
Chikkaballapura
Chikkamagaluru
Chitradurga
Dakshina Kannada
Davanagere
Dharwad
Gadag
Hassan
Haveri
Kalburgi
Kodagu
Kolara
Koppal
Mandya
Mysuru
Raichur
Ramanagara
Shivamogga
Tumakuru
Vijayapura
Yadgir
